V1,V2,V3,V4,V5,V6,V7,V8
6985.1376953125,6873.1484,6899.5566,6825.989,6953.046,6848.7764,6911.852,6841.74
7182.1572265625,7157.4775,7160.122,7081.935,7151.095,7122.149,7182.8794,7085.782
7271.82958984375,7245.0024,7259.362,7187.1284,7260.814,7241.8647,7291.006,7184.065
7794.3544921875,7805.793,7801.2896,7715.4966,7786.8096,7773.837,7799.5654,7719.237
1014.6122436523438,999.574,1192.6813,1301.4299,1014.2435,1017.89374,1204.0092,1317.7041
9884.861328125,9954.03,10040.395,10060.246,10059.627,10006.765,10069.762,10000.68
3345.513427734375,3349.582,3342.7188,3361.116,3355.3345,3347.368,3347.7002,3365.4043
2628.233642578125,2630.2283,2656.0764,2671.828,2664.0225,2641.9817,2667.6643,2662.7598
2493.666748046875,2490.1333,2501.0647,2514.3655,2509.2625,2492.3953,2506.3987,2511.8726
2541.720947265625,2530.923,2557.5552,2549.4646,2538.0007,2527.7612,2553.1929,2551.1016
1158.5025634765625,1153.5677,1153.4926,1153.1082,1155.8519,1153.026,1153.7369,1154.4918
3268.0439453125,3110.9507,3304.7644,3359.3428,3291.1365,3147.6128,3343.9075,3394.4458
1794.858154296875,1824.9895,1851.6477,1842.24,1866.8608,1865.4585,1869.3755,1825.1538
12762.767578125,12750.299,12754.207,12873.989,13110.539,12844.441,12892.796,12809.195
1231.44384765625,1227.9985,1298.263,1322.3206,1239.396,1240.8754,1304.9329,1327.8026
2095.900146484375,2132.5774,2248.1582,2246.3562,2225.3657,2211.3816,2281.1545,2215.362
2467.975341796875,2518.7463,2494.1382,2540.4805,2511.3906,2526.8916,2513.0828,2522.6763
4690.15185546875,4600.8794,4882.6157,4750.8213,4729.92,4637.9375,4864.454,4736.683
5859.36279296875,5946.7397,5998.0107,6009.667,6026.791,5983.137,6035.7583,5970.787
6330.9482421875,6396.4204,6410.046,6486.758,6459.466,6417.7017,6447.291,6472.016
9797.3984375,9881.842,9945.274,10035.87,9975.717,9908.028,9998.716,10004.366
4981.962890625,5034.279,5116.7705,5212.3438,5061.393,5038.0474,5143.4526,5224.2246
6079.95361328125,6083.0107,6183.4604,6244.086,6175.9717,6118.412,6229.7505,6197.317
2326.379150390625,2328.5146,2349.3398,2332.9216,2329.969,2330.906,2355.9097,2332.976
1373.3681640625,1373.4182,1386.4741,1374.4874,1372.7999,1370.6216,1389.6208,1374.4313
7844.36572265625,7461.2417,7560.382,8866.262,7597.209,7519.726,7773.383,8815.135
9189.4765625,9170.689,9239.348,9199.045,9220.732,9174.687,9284.315,9220.009
5123.6904296875,5128.3936,5046.749,5024.1855,5148.4663,5158.127,5072.3105,5021.2466
1925.2978515625,1903.5376,1887.4958,1869.1302,1917.323,1890.4333,1881.6992,1886.9995
3098.54443359375,3102.6538,3074.9736,3082.6238,3095.7288,3098.943,3075.171,3085.0842
2480.827880859375,2500.646,2489.2188,2490.5637,2486.7544,2491.0068,2496.1582,2495.0195
4841.6044921875,4777.126,4772.9697,4801.2734,4884.3438,4804.128,4779.352,4754.4517
8333.0869140625,8425.277,8403.317,8359.551,8421.602,8469.3955,8431.849,8367.537
