V1,V2,V3,V4,V5,V6
7325.77294921875,7327.322,7342.7812,7372.7476,7330.4917,7348.4756
1610.555908203125,1584.2722,1619.7653,1561.616,1574.5044,1598.221
8715.50390625,8961.135,9255.879,9573.163,9788.402,9972.83
10085.5517578125,10377.066,10685.258,11051.314,11287.523,11560.354
7359.19921875,7751.8623,8132.0684,8575.274,8743.738,9001.818
4338.515625,4573.315,4752.9824,4925.9062,5007.7314,5207.8643
3925.35400390625,4109.956,4210.096,4302.766,4342.588,4510.132
2412.60400390625,2400.774,2402.5928,2395.8794,2400.2673,2407.9663
2345.287353515625,2387.124,2422.5696,2446.195,2455.7112,2491.1707
2374.534912109375,2413.2278,2411.639,2377.6252,2379.0469,2417.774
1513.9903564453125,1535.3414,1550.8274,1564.1676,1570.3408,1588.4548
2054.96142578125,2123.2732,2189.0342,2248.434,2276.431,2328.8545
4736.3525390625,4786.6367,4840.57,4898.975,4890.3623,4938.1733
5092.947265625,5138.0215,5191.4863,5212.5127,5198.7007,5259.0283
5455.19775390625,5545.8413,5719.5977,5782.7456,5916.0054,5971.538
2625.590087890625,2628.5503,2629.0488,2667.7136,2616.6924,2610.121
3864.98193359375,3903.2478,3947.175,3968.872,3967.3574,3998.5527
3205.128173828125,3208.8652,3219.0503,3246.7605,3197.4478,3199.9355
3544.001953125,3906.5156,4069.3428,4248.2275,4390.751,4620.826
6734.42724609375,6931.8657,7021.71,7208.4014,7299.165,7434.2163
10132.568359375,10654.488,10918.6,11418.932,11648.164,12055.809
4785.08056640625,5014.369,5102.252,5183.4023,5216.491,5485.138
10145.6982421875,10233.739,10479.785,10210.474,10350.959,10624.951
9413.2578125,9689.593,9798.091,9684.891,9759.14,10170.629
2564.5458984375,2665.977,2714.9954,2772.818,2807.2446,2894.5586
7948.1201171875,8316.281,8473.058,8641.611,8670.289,9121.885
1898.8424072265625,1974.8088,2014.9634,2054.6453,2061.526,2153.5427
1839.121337890625,1912.5249,1943.9163,1970.8435,1975.9741,2062.253
4301.259765625,4386.607,4424.265,4449.764,4448.1846,4535.8447
4606.93310546875,4744.687,4915.355,5008.9355,5056.379,5161.5073
3820.31689453125,3852.1255,3819.743,3695.878,3785.3508,3781.3435
5556.9580078125,5675.6685,5762.374,5825.7056,5861.2354,5955.7744
1292.331787109375,1314.9434,1344.1746,1352.2245,1358.8608,1375.8148
1733.05419921875,1766.8767,1796.4792,1798.7924,1811.3789,1837.7322
3505.36865234375,3601.232,3685.8289,3755.5454,3785.6072,3873.7217
1189.2401123046875,1209.5321,1221.5271,1227.2361,1232.2189,1249.1232
4128.451171875,4242.6885,4326.502,4399.66,4437.4688,4539.1475
4106.884765625,4003.123,4087.6528,3951.9497,3968.0557,4034.2651
3746.421142578125,3801.5522,3857.6836,3838.1726,3889.1514,3902.672
4824.4384765625,4905.702,4997.554,5073.1904,5142.7837,5204.555
14794.8330078125,14915.806,15074.609,15169.753,15232.128,15313.666
6137.8359375,6557.683,6920.762,7365.2686,7696.6104,8016.1426
3035.693603515625,3181.3428,3358.1294,3554.9922,3719.9395,3837.3755
10419.8310546875,10695.678,11031.828,11383.611,11668.936,11867.605
10360.078125,10601.824,10878.438,11196.346,11506.173,11688.724
6810.22119140625,7276.955,7649.2373,8173.73,8529.861,8798.672
6820.10986328125,7287.453,7659.296,8185.7803,8541.986,8812.568
6978.0107421875,7010.3574,6999.905,7113.784,7097.01,7079.0713
2520.888671875,2537.2847,2569.3774,2586.4004,2592.5815,2599.7014
18655.33203125,18790.707,19032.875,19168.04,19251.191,19333.676
8194.1044921875,8235.357,8309.45,8346.924,8346.996,8375.753
18690.5625,20188.5,21598.473,23215.48,24072.438,25349.672
21732.69921875,24354.39,26132.52,28730.473,29702.168,31773.684
9638.47265625,10586.305,11378.822,12478.639,13346.064,14208.633
2956.111328125,3247.9028,3485.8623,3811.2148,4031.2144,4293.382
13216.927734375,14741.603,15923.83,17554.445,18476.625,19794.008
2242.8701171875,2403.433,2536.414,2712.527,2805.665,2926.4888
10262.7861328125,10475.103,10601.979,10937.34,10909.668,11097.576
10178.9091796875,10334.642,10455.612,10655.74,10811.859,10918.956
10338.9375,10584.513,10824.934,11167.25,11505.549,11698.541
10024.861328125,10156.914,10207.359,10245.633,10197.604,10319.52
10390.16796875,10536.67,10820.539,10890.391,10707.018,10818.884
10583.6806640625,10936.614,11367.102,11692.645,12190.74,12281.158
13758.466796875,14224.645,14887.859,15385.869,16103.976,16413.197
11042.697265625,11624.576,12169.553,12695.365,13347.807,13784.061
10752.6298828125,11251.102,11513.867,12133.143,12402.527,12798.184
10116.3662109375,10152.957,10177.5625,10213.333,10190.503,10184.626
10212.423828125,10227.046,10233.076,10318.678,10242.45,10239.814
